,tweets
924,"RT @MohanTh80694870: Why disciples of Saint Rampal Ji Maharaj claims that He can relieve the world of all sorts of diseases like CANCER, HI…"
925,"Sant Shri Asharamji Bapu worked for the welfare of the Society for more than 50 years. His age is above 84 years, w… https://t.co/E1ZtPyTP3j"
926,@AmdAshram Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countrie… https://t.co/9GhAX2OdLr
927,RT @GeorgiaLogCabin: #Poll: Do you personally know anyone diagnosed with the corona virus? Vote &amp; retweet. #coronavirus #covid19 #covidー19…
928,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
929,RT @Ra_Bies: Good Morning to everyone except those who think burqa is regressive. Burqa is the original mask that protects you from virus &amp;…
930,"RT @Santosh794976: #Benefits_Of_Satsang
Listen to the treatment of incurable diseases in the satsang of full Guru. While the corona virus h…"
931,RT @Stephisaseal: A person I follow on Instagram named Cheyenne Cameron (a fellow cameron fan) lied about her sister dying of the Corona vi…
932,"RT @Dinesh_Jat_: #Benefits_Of_Satsang
If you do true devotion, always remain happy and healthy, any dangerous disease is cured by true devo…"
933,"RT @BREWSRONE: corona virus got people being horny, depressed, creative and true alcoholics..im all 4"
934,RT @LloydCedricks: Correction: ANTI-FLU Drug po ang Avigan and not a vaccine drug but it cures 90% of the corona virus. For further info:…
935,RT @touchnct: “watch out for the corona virus to everyone around the world and please wash your hands and...take a mask. be careful! be hea…
936,"RT @TheSkandar: #ChineseVirus19

The Corona Virus travelled entire world from #Wuhan but it did not reached Beijing and Shanghai.

Can anyb…"
937,@arunmeshtru Tv9 just said - corona virus is on world tour
938,@aajtak @chitraaum The number of #Corona patients in India is increasing daily. Do these people not understand how… https://t.co/6UoXKd645h
939,RT @Varicha9: #ReleaseAsharamjiBapuOnParole due to corona virus attack in India. Sant Shri Asharamji Bapu is 84 yrs old and corona infectio…
940,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
941,"RT @rbickford33: JUST A THOUGHT: Over 113 thousand Americans have recovered from Corona Virus, but you'll never hear that on the garbage MS…"
942,niggas gon be playing that corona virus shit by cardi in the spots I see it already
943,"RT @LakhanR92558106: #Benefits_Of_Satsang
If you do true devotion, always remain happy and healthy, any dangerous disease is cured by true…"
944,RT @kaju__katli: Xi Jinping after watching Arvind Kejriwal's performance of spreading Corona virus.. https://t.co/3SEUrQ6ZWG
945,"RT @TheSkandar: #ChineseVirus19

The Corona Virus travelled entire world from #Wuhan but it did not reached Beijing and Shanghai.

Can anyb…"
946,"RT @MysterySolvent: Nikki Haley twtd
“While some choose to criticize, I know realDonaldTrump , VP, and all of the members of the corona vir…"
947,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
948,"RT @VarmaNancy: #Benefits_Of_Satsang
Why disciples of Saint Rampal ji Maharaj 
claim that he can relieve the world of all sorts of diseases…"
949,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
950,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
951,RT @chiakaamako: Ps: some people are going from house to house in Abuja pretending to be NCDC officials asking to conduct corona virus test…
952,"RT @Harish7Sethi: #Benefits_Of_Satsang
Hearing the satsang of the perfect Guru increases our faith in God like today we are being dependent…"
953,RT @AMAZlNGSCIENCE: This gives you an idea how many layers of protection doctors must protect themselves everyday from the corona virus. ht…
954,RT @HildaBacigalupo: @NatureisCrueI @NicolaPorcella The corona virus is teaching us that we are the ones who should not be on this planet.
955,"RT @VarmaNancy: #Benefits_Of_Satsang
Why disciples of Saint Rampal ji Maharaj 
claim that he can relieve the world of all sorts of diseases…"
956,"RT @ajitsingh112018: Its a War against Corona 
It's a war against China 
Declare War
Shoot at sight , those trying to spread virus .

#Decl…"
957,Can’t tell if I got drunk and smoked too many cigs around a bonfire this weekend or if I got corona virus but can’t hardly breathe
958,RT @151985Lucky: @AshokiKumar2 When it is clear that corona virus attacks the old aged persons than we urge to #ReleaseAsharamjiBapuOnParole
959,"RT @ABHIJIT_LS: No updates of Corona by ICMR for Saturday &amp; Sunday ! No data published by them .
So either the virus took weekly offs or th…"
960,"RT @Dago70_2: Unfreaking believable!!!!
As @realDonaldTrump starts his corona virus news briefing, CNBC shows a story on the best way to PE…"
961,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
962,RT @sanjeevuprety: Lessons taught by Coronavirus pandemic: Shift resources from nuclear weaponry and military to public health and economy…
963,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
964,"RT @Blainewest: If the corona virus doesn’t take you out, can I? 👉🏽👈🏽"
965,RT @shegonsuck: the corona virus was created and systematically released to destroy the black male hairline
966,"#Benefits_Of_Satsang
 Science have no treatment for corona virus till now, but listening to the satsang of complete… https://t.co/5MvgvTLxat"
967,RT @Ra_Bies: Good Morning to everyone except those who think burqa is regressive. Burqa is the original mask that protects you from virus &amp;…
968,@Radherajak1 Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countr… https://t.co/umxiIx01Lr
969,"RT @cpjayloni: Lord, Bless The World!🙏
Save us from the corona virus...
Amen🙏💓 
#ALDUBxADNSaveOurLand 🌍🕊 https://t.co/MhxKpix6Ea"
970,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
971,"RT @DSSTrending: Plasma Donation, Dera Sacha Sauda Volunteers, New Zealand
@DeraSachaSauda is offering itsselfless humanitarian services in…"
972,"RT @xxkassie: its safe to go out at night guys, the corona virus is asleep"
973,RT @NimeshPandya4: @YssMathura @rashtrapatibhvn @PMOIndia Sant Shri Asharamji Bapu worked for the welfare of the Society for more than 50 y…
974,"RT @manisha3_: Sant Shri Asharamji Bapu worked for the welfare of the Society for more than 50 years. His age is above 84 years, we need hi…"
975,RT @mia_aviles38: I would gladly take a scooter to the ankle to get rid of this corona virus #day14ofcornteen
976,"With the current videos online of empty hospitals, I think we are proving the news is 100% FAKE NEWS!

CORONA VIRUS… https://t.co/MeuvJHKxUv"
977,"RT @PREETMEHTA1313: #Benefits_Of_Satsang

There is no cure for the corona virus yet, whereas through the satsang of Saint Rampal Ji Maharaj…"
978,RT @manishaParaswa2: @shankerjoshi001 @asharamjibapu_ Today the biggest fear on Earth is Corona Virus due to which economy and health syste…
979,RT @GeorgiaLogCabin: #Poll: Do you personally know anyone diagnosed with the corona virus? Vote &amp; retweet. #coronavirus #covid19 #covidー19…
980,RT @sir_glasnost569: In Spain someone is disappointed with his Lord and destroys the statues of Mary's mother and the cross of Jesus Christ…
981,RT @tinashehive: Why is everyone quoting his video talking bout corona virus when this lady is obviously Korean
982,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
983,RT @Yogeshrode5: When it is declared worldwide by Medical Institutions and WHO that Corona Virus is fatal to persons above 60 years and suf…
984,"RT @JListPeter: Japan has had its first famous Corona Virus death, Ken Shimura, who passed this morning. He was famous for a show which fea…"
985,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
986,"RT @YLaylee: Adored Japanese Comedian Ken shimura has passed  away at 70 from Corona Virus and I am heartbroken…

My heart goes out to all…"
987,"RT @YLaylee: Adored Japanese Comedian Ken shimura has passed  away at 70 from Corona Virus and I am heartbroken…

My heart goes out to all…"
988,"RT @ANINewsUP: Residents of Corona, a village in Sitapur say they have been facing discrimination, ever since the outbreak of #coronavirus.…"
989,RT @FINALLEVEL: One of me Very best and closest friends Al Patrome @AlPatrome Just got Positive test results for the Corona Virus.. Everyda…
990,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
991,"RT @PREETMEHTA1313: #Benefits_Of_Satsang

There is no cure for the corona virus yet, whereas through the satsang of Saint Rampal Ji Maharaj…"
992,"RT @MuhdNaufal98: As a Malaysian student here in South Korea, I can say that they handle this Covid-19 situation really well!!😍

The govern…"
993,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
994,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
995,"#Benefits_Of_Satsang
If you do true devotion, always remain happy and healthy, any dangerous disease is cured by tr… https://t.co/dt5jBfTOCk"
996,"RT @real_suresh1: #StopNegativityAgainstSRK
According to the famous foretellers (Nostradamus, Florence, etc.), Saint Rampal Ji Maharaj is t…"
997,"RT @Zeddbtw: apparently a corona virus symptom is having no taste, praying for all young boy  fans"
998,RT @Ra_Bies: Good Morning to everyone except those who think burqa is regressive. Burqa is the original mask that protects you from virus &amp;…
999,"RT @PepesPeepers: WHAT IS REALLY GOING ON WITH THE CORONA VIRUS RIGHT NOW

DISCERN FOR YOURSELF 

BEST VIDEO,S ON THE PLANET RIGHT NOW

htt…"
1000,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1001,RT @beverlysand1: @premnsikka @Hawkins2Mac Like he did when he smugly &amp; gleefully announced that he had shook the hands of patients who pro…
1002,RT @ShriManoj9: @sanjaybhind2 @khushbuSahu8 @madaanparag @BhumiChoudhary_ @damle_brajesh @Nalini_om @sanju_gouda @Eklavya88281356 @nayantar…
1003,"@Reva__D @BarbStellar He’s a walking train wreck, why torture yourself watching?  Nothing good will ever come from… https://t.co/rLVTqkwVxr"
1004,RT @WAQARAH16461063: Corona virus is nothing for Pakistan our media and people like #میرشکیل_قومی_مجرم are  viruses for us
1005,"RT @Santosh794976: #Benefits_Of_Satsang
Listen to the treatment of incurable diseases in the satsang of full Guru. While the corona virus h…"
1006,RT @amirshaikh_INC: We have launched a District wise students helpine for students facing problems due to Corona Virus Lockdown on behalf o…
1007,"RT @jrmkingston: ""Little Marco"" is right. The media didn’t report on Chinese virus until impeachment failed. They tout coronavirus stats li…"
1008,RT @_Ajayks: @sanjaybhind2 @khushbuSahu8 @madaanparag @BhumiChoudhary_ @damle_brajesh @Nalini_om @sanju_gouda @Eklavya88281356 @nayantara83…
1009,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1010,RT @DSAEastBay: Imagine getting severe pneumonia and praying you test positive for Corona virus--if you can even get a test--because otherw…
1011,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1012,RT @Yogeshrode5: When it is declared worldwide by Medical Institutions and WHO that Corona Virus is fatal to persons above 60 years and suf…
1013,"RT @Dinesh_Jat_: #Benefits_Of_Satsang
If you do true devotion, always remain happy and healthy, any dangerous disease is cured by true devo…"
1014,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1015,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1016,"RT @JonathanTurley: Washington State Prohibits Citizens From Fishing, Cites Corona Virus Outbreak https://t.co/ABj3NHZDef https://t.co/S5pi…"
1017,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1018,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1019,RT @Vikkstar123: The USA has the most confirmed Corona Virus cases in the world. Yet they're STILL running this many domestic flights... Ve…
1020,"Facts?  Or  just a prediction?? (part-1)

The real shit is here 💯

The corona Virus travelled entire world from Wuh… https://t.co/bzA6zrZ8rV"
1021,We should salute to electricity Dept and water supplies Dept. Who has facilitate tirelessly to people stay at home… https://t.co/ZgGgEJ9zHa
1022,@dekay Anything new about esl cologne regarding the corona virus?
1023,"RT @Zeddbtw: apparently a corona virus symptom is having no taste, praying for all young boy  fans"
1024,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1025,RT @mayra_gupta_: Listen to the treatment of incurable diseases in the satsang of full Guru. While there is no cure for the corona virus ye…
1026,My mom got mad and my dad was like don’t get angry you’ll get the corona virus😭🤦🏽‍♀️😂
1027,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
1028,RT @ask0704: My take on Was WHO so afraid of offending Chinese authorities that it didn’t do the job its officers get paid to do? Was Dr Te…
1029,"RT @PREETMEHTA1313: #Benefits_Of_Satsang

There is no cure for the corona virus yet, whereas through the satsang of Saint Rampal Ji Maharaj…"
1030,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1031,"RT @ytmn2: Sadly, we have been informed of two #Eritreans losing their lives because of the Corona virus in London, we are currently aware…"
1032,"RT @justice_H1b: @FrescoLeon I am health care professional working in Skilled nursing home and If I die in corona virus crisis ,will you he…"
1033,RT @robertcobrien: Honored to join ⁦@realDonaldTrump⁩ and SECDEF to see USNS Comfort off to New York. Her sister ship USNS Mercy is in my h…
1034,@liljay1k Once corona virus end he going back
1035,RT @Solonthethinker: @yaronbrook @spreaker Nice that you mentioned the economy already headed for recession before the corona virus hit. Al…
1036,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
1037,When it is declared worldwide by Medical Institutions and WHO that Corona Virus is fatal to persons above 60 years… https://t.co/sGkawzR8gv
1038,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1039,RT @chiakaamako: Ps: some people are going from house to house in Abuja pretending to be NCDC officials asking to conduct corona virus test…
1040,RT @GirlNamedMarley: this is the BEST set of info I’ve found on corona virus and it’s worth watching the full 10mins https://t.co/oTNt5Cxg8j
1041,@JuiceMan3x The album gotta be the cure for the corona virus. Why it’s taken so long 🤷🏻‍♂️
1042,RT @NimeshPandya4: @YssMathura @rashtrapatibhvn @PMOIndia Sant Shri Asharamji Bapu worked for the welfare of the Society for more than 50 y…
1043,RT @luke_haskell: @JackPosobiec They just did it. They authorized the Hydroxychloroquine for use on Corona virus patients. Now they need to…
1044,RT @Deji: We will beat this Corona Virus 👊🏾
1045,RT @AnandGo36605680: @AshokiKumar2 Right Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole co…
1046,"@arsched Please do us a favour, from onward you take care of all corona virus deaths in the same way to survive. At… https://t.co/wEvrr381jS"
1047,"RT @ImAllexx: apparently a corona virus symptom is having no taste, thoughts go out to all the kpop stans at this time 🙏"
1048,RT @MadarasiMunda: NEW:  Actor Shah Rukh Khan has decided to donate for the corona virus relief fund from the profits derived out of the la…
1049,RT @DSAEastBay: Imagine getting severe pneumonia and praying you test positive for Corona virus--if you can even get a test--because otherw…
1050,"RT @CeliaFarber: The psy-op to tackle 1st is HIV/AIDS--casts LIGHT on this one, though ""AIDS Virus""  was said to be a retrovirus &amp; Covid 19…"
1051,"RT @greentoepalacio: February 29th- First Corona Virus Death In USA.

March 26th- 1000th Coronavirus Death In USA.

How Long Will It Take U…"
1052,"I’m really shocked at how people are reacting to the help from China. Wake up! Our enemy is the Corona Virus, not a… https://t.co/T2wrpNPUMS"
1053,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
1054,"RT @MukeshSRKian: BJP and Bhakts are more dangerous than Corona Virus to India 

#HateMongerBJPiTcell"
1055,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1056,"God should help us fight is Corona virus is getting million of us scared 

Dem.........😟😟😟😷😷 https://t.co/yqtcD9G0B0"
1057,RT @howardstory: @Ja1Ke3 Between the Corona virus and the Democrat plague he has his hands full &amp; is doing a great job. Thank God we don’t…
1058,RT @151985Lucky: @AshokiKumar2 When it is clear that corona virus attacks the old aged persons than we urge to #ReleaseAsharamjiBapuOnParole
1059,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1060,"Ok....so this shutdown/stay home thing has me addicted to watching:

-Tiger king
-Barstool sports quarenteen pizza… https://t.co/nfO0MlK9sB"
1061,#ReleaseAsharamjiBapuOnParole . Whole world need peace and we all know Sant Shri Asharamji Bapu can provide a real… https://t.co/pQzjRilTTW
1062,@YssMathura @rashtrapatibhvn @PMOIndia Sant Shri Asharamji Bapu worked for the welfare of the Society for more than… https://t.co/Pi4Sm1WF2e
1063,@marc_raimondi that’s how you get corona virus in Japan.
1064,@romanemperor11 @TheNeuroTimes the virus is very virulent/spreads easily in close contact- but is easily killed on… https://t.co/KyKv1JkEOr
1065,RT @Vikkstar123: The USA has the most confirmed Corona Virus cases in the world. Yet they're STILL running this many domestic flights... Ve…
1066,"RT @PREETMEHTA1313: #Benefits_Of_Satsang

There is no cure for the corona virus yet, whereas through the satsang of Saint Rampal Ji Maharaj…"
1067,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1068,"@mitchellvii Goal posts have been moved...🥅

I have reported on and warned about the corona virus outbreak for mont… https://t.co/oG43S5MAYt"
1069,"RT @VarmaNancy: #Benefits_Of_Satsang
Why disciples of Saint Rampal ji Maharaj 
claim that he can relieve the world of all sorts of diseases…"
1070,RT @ArianaGrande: please support h.r.6201 which has passed the house. this bill will provide people w necessary financial support in terms…
1071,"@AmericanIdol’s Hawaii part 2 was set to air tomorrow night, but... CORONA VIRUS. As of next Sunday, after Hawaii p… https://t.co/7lHgeXmJlG"
1072,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1073,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
1074,i am saddened to hear the singer/songwriter john prine has been intubated and in critical condition with corona virus.
1075,"RT @surender1703: Today whole world has accepted that staying in quarantine is the only way to safeguard from Corona Virus

As this virus h…"
1076,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1077,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1078,Get rid of fear with corona virus by boosting our faith in God. 😇🙏
1079,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1080,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1081,RT @Kingfreespeech: It’s very concerning to me how weak democrats are making a lot of Americans become. The Corona Virus wouldn’t have even…
1082,"RT @SarahIsGarbo: apparently a corona virus symptom is having no taste, praying for all carti fans 🙏"
1083,"@jimcramer True, but US Senators selling stock following closed-door briefing on the corona virus is pretty awful"
1084,RT @151985Lucky: @AshokiKumar2 When it is clear that corona virus attacks the old aged persons than we urge to #ReleaseAsharamjiBapuOnParole
1085,"RT @ANINewsUP: Residents of Corona, a village in Sitapur say they have been facing discrimination, ever since the outbreak of #coronavirus.…"
1086,"RT @SarahIsGarbo: apparently a corona virus symptom is having no taste, praying for all carti fans 🙏"
1087,"RT @VarmaNancy: #Benefits_Of_Satsang
Why disciples of Saint Rampal ji Maharaj 
claim that he can relieve the world of all sorts of diseases…"
1088,RT @nielo_Twit: Even pastors are waiting for corona virus to clear so they can continue healing the sick.
1089,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1090,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
1091,"NEW: Chile reports 230 new cases of coronavirus, 2,139 cases in total.

75 recovered, 75 are on ventilators."
1092,"RT @YLaylee: Adored Japanese Comedian Ken shimura has passed  away at 70 from Corona Virus and I am heartbroken…

My heart goes out to all…"
1093,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1094,"RT @bonario89: So few minutes ago, my community Obodoukwu set up a N20million  fund raising committee, in respect of the Corona virus, aime…"
1095,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
1096,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1097,RT @carinerino: I’d rather catch the corona virus than catch feelings. https://t.co/i7jm9QW3zm
1098,RT @TheZaiduLeaks: Chinese Spokesperson @zlj517 who just sent me DM asked me not to call Corona Virus as #ChineseVirus19 or #ChinaVirus19…
1099,RT @RealChrisMiles: psa dont text ur ex cuz of corona virus
1100,"RT @ChhayaY27352540: Sant Shri Asharamji Bapu worked for the welfare of the Society for more than 50 years. His age is above 84 years, we n…"
1101,RT @Ravikan31726508: Latest update regarding corona virus cases. https://t.co/D3v6yOfPMs
1102,@SandDollar04 @james_mccoy_t @kayleighmcenany @realDonaldTrump Your AVI looks like the corona virus.  Just saying.
1103,RT @ask0704: Was WHO so afraid of offending the Chinese authorities that it didn’t do the job its officers get paid to do? Was Dr Tedros so…
1104,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
1105,"Disebabkan movie ni viral time corona ni, so I decided to watch it (tambah pelakon pun best²).

Sesiapa yang tulis… https://t.co/Vlg3lpNIVL"
1106,RT @BensonMazi: May God almighty destroy this guy called @BashirAhmaad And his fulani Janjaweed for playing recorded video for 200million p…
1107,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1108,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1109,"This corona virus has
a very big ego

He will not come to your
house unless you go 
out to invite him

#StayHomeStaySafe"
1110,@narendramodi Long live our PM....Thank you so much from our inner heart for this bold and necessity decision to fi… https://t.co/2co8G0nwjJ
1111,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1112,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1113,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1114,Prevention is better than Cure......... Corona Virus.......... https://t.co/7pE7Ai28FC
1115,"RT @UttamAtiUttam: HIV/ Cancer/ PassBook Printer to Corona Virus 
#ChineseVirusCorona https://t.co/R5ltW8pgou"
1116,It's been 7 days we are locked in homes cause of CORONA VIRUS And we are wondering how the days will go? Think abou… https://t.co/OwedEILR3v
1117,"RT @beautyforyoutoo: Protect yourself and others! 
Stop the #Coronavirus

#StopCoronaVirus #LetsCareForEachOther

For protection check : ht…"
1118,RT @AMAZlNGSCIENCE: This gives you an idea how many layers of protection doctors must protect themselves everyday from the corona virus. ht…
1119,@ManjitKaur09 @AshramGzb @AshramBlr @ashramgoregaon @AshramSgr @AshramJodhpur @AshramRajkot @LokKalyanSetu… https://t.co/TpCbBBbvDD
1120,"@TK_HelpDesk 
I have reservation No.SID27A on your flight and l would like to cancel the tiktes because the Corona… https://t.co/hGYduWrnsg"
1121,"@realDonaldTrump @VP 

hey chumpy &amp; punce
you two jackasses own this
- our virus task force leader was too busy suc… https://t.co/sZOAFFKBl1"
1122,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
1123,@viewsfrom_m the corona virus just hit home 💔
1124,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
1125,RT @Kingfreespeech: Our American ancestors endured sickness &amp; illness a hundred times worse than what we’ve experienced. All while fighting…
1126,RT @TheZaiduLeaks: Chinese Spokesperson @zlj517 who just sent me DM asked me not to call Corona Virus as #ChineseVirus19 or #ChinaVirus19…
1127,RT @gnoBREAKTHROUGH: @HillaryClinton @realDonaldTrump @BarackObama @POTUS @fatima_italia @anhisu7 @netanyahu @HerbsandDirt @chesleydohl @Lu…
1128,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1129,"RT @YLaylee: Adored Japanese Comedian Ken shimura has passed  away at 70 from Corona Virus and I am heartbroken…

My heart goes out to all…"
1130,@TheEconomist The Economist is the biggest VIRUS in the history. Corona won't kill but Economist definitely will with their false news.
1131,if having a fat pussy a symptom of the corona virus? 🤭🥺
1132,RT @Suhasini97patil: When it is declared worldwide by Medical Institutions and WHO that Corona Virus is fatal to persons above 60 years and…
1133,RT @thomaskaine5: SHOCKING.   USA has 20% of the corona-virus cases in the world.  Yet we still do not have a National Stay at Home Order.…
1134,"RT @ANINewsUP: Residents of Corona, a village in Sitapur say they have been facing discrimination, ever since the outbreak of #coronavirus.…"
1135,"RT @burnerberrys: apparently a corona virus symptom is having no taste, my prayers go out to all Demon Slayer fans"
1136,RT @manishaParaswa2: @shankerjoshi001 @asharamjibapu_ Today the biggest fear on Earth is Corona Virus due to which economy and health syste…
1137,Corona virus don’t fucks wit us Aries n we don’t fuck with you either !! But you coulda pulled this shit back in January
1138,RT @sanjaybhind2: Today the biggest fear on Earth is Corona Virus due to which economy and health system of whole countries have collapsed…
1139,RT @vlexvndrvcelest: The only person that can save us from the corona virus 🤣 #sanitizebitch @meliphobia https://t.co/2LU795qqID
1140,"RT @Jayaasnani2: Sant Shri Asharamji Bapu worked for the welfare of the Society for more than 50 years. His age is above 84 years, we need…"
1141,"RT @SarahIsGarbo: apparently a corona virus symptom is having no taste, praying for all carti fans 🙏"
1142,@davidjgaunt Stupid is a more contagious virus than Corona.
1143,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1144,"RT @ABHIJIT_LS: No updates of Corona by ICMR for Saturday &amp; Sunday ! No data published by them .
So either the virus took weekly offs or th…"
1145,"RT @gwpro: Not unprecedented, but he #power grab is tantamount to 9/11 and WW2 levels this time around. #panic #politics #crisis #economy #…"
1146,RT @Shyamji37767139: @BasantK70974078 Indian Government has decided that anyone who is already in prison for 6 years will be released after…
1147,"RT @PeterSweden7: The death rate in Italian region of Lombardy just keeps increasing.

It is now 15.5%

That means 1 in 6.5 people who test…"
1148,RT @5Forty3: The sheer humane angle of #MannKiBaat with so many Corona Virus patients interacting with the PM and sharing their stories is…
1149,"RT @Santosh794976: #Benefits_Of_Satsang
Listen to the treatment of incurable diseases in the satsang of full Guru. While the corona virus h…"
1150,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
1151,RT @Badgyalana: An infant has been diagnosed w the corona virus in ORANGE COUNTY. If you are not taking this virus seriously stay the FUCK…
1152,RT @_Ajayks: @ShriManoj9 @rsprasad When it is declared worldwide by Medical Institutions and WHO that Corona Virus is fatal to persons abov…
1153,Corona virus panic shoppers stealing from supermarket https://t.co/BtUdb1wntK via @YouTube
1154,"RT @justice_H1b: @FrescoLeon I am health care professional working in Skilled nursing home and If I die in corona virus crisis ,will you he…"
1155,"RT @Harish7Sethi: #Benefits_Of_Satsang
 Science have no treatment for corona virus till now, but listening to the satsang of complete guru…"
1156,"RT @Harish7Sethi: #Benefits_Of_Satsang
 Science have no treatment for corona virus till now, but listening to the satsang of complete guru…"
1157,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1158,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
